id,sentence,subject_entity,object_entity,label,source
0,〈Something〉는 조지 해리슨이 쓰고 비틀즈가 1969년 앨범 《Abbey Road》에 담은 노래다.,비틀즈,조지 해리슨,no_relation,wikipedia
1,호남이 기반인 바른미래당·대안신당·민주평화당이 우여곡절 끝에 합당해 민생당(가칭)으로 재탄생한다.,민주평화당,대안신당,no_relation,wikitree
4,1967년 프로 야구 드래프트 1순위로 요미우리 자이언츠에게 입단하면서 등번호는 8번으로 배정되었다.,요미우리 자이언츠,1967,no_relation,wikipedia
6,그에 따라 나폴리와 계약을 연장한 마라도나는 1989년 팀을 UEFA컵 정상으로 인도했으며 이듬해에는 유럽 챔피언 AC 밀란을 상대로 승리를 거두고 다시 한 번 세리에A에서 정상에 등극했다.,AC 밀란,1989,no_relation,wikipedia
14,"조토 디 본도네, 마사초, 피에로 델라 프란체스카, 도메니코 기를란다요, 페루지노, 미켈란젤로, 라파엘로, 보티첼리, 레오나르도 다빈치, 티치아노 등으로 대표되는 이탈리아 르네상스 회화는 당대와 그 이후의 시기 유럽 전체에 영향을 주었다.",미켈란젤로,르네상스,no_relation,wikipedia
16,"이정미 대표도 이날 기자회견에 앞서 한 라디오 방송에 출연 ""정개특위를 한국당에 내주는 건 어떤 일이 있어도 안 된다""며 ""지금 한국당을 어르고 구슬리는 게 민주당에 득이 된다고 생각할지 모르겠지만 정부 여당의 개혁 정책에 가장 힘을 실어줬던 정의당과 야3당의 개혁 공조가 어그러지는 상황이 될 것""이라고 지적했다.",이정미,정의당,no_relation,wikitree
19,"이번 포럼은 제주개발공사와 유네스코 아시아-태평양 본부, 한국지질자원연구원이 공동 주최하고 유네스코 파리본부, 제주특자치도, 환경부, 한국수자원공사, 한국건설기술연구원 등이 후원한다.",한국수자원공사,환경부,no_relation,wikitree
26,본가가 양돈업을 운영하고 있었던 점도 있어 닛폰햄 구단주인 오코소 요시노리는 가족도 알고 있어 할아버지 등을 걱정해 준 것에 대해 감사를 표했다고 한다.,닛폰햄,오코소 요시노리,no_relation,wikipedia
27,"1824년에 있었던 첫 졸업식에는 대통령 제임스 먼로와 존 C. 칼훈, 헨리 클레이 시니어, 질베르 뒤 모티에 드 라파예트 후작 등이 참석했다.",존 C. 칼훈,제임스 먼로,no_relation,wikipedia
32,"양당이 모두 해체한 뒤 신당을 창당하는 것이 아닌 유신당이 해체 뒤 기존의 민주당에 합류하는 방식이기 때문에, 옛 모두의 당 시절 비례대표로 선출되어 두레당을 거쳐 유신당에 합류했던 참의원 의원 5명(오노 지로, 가와다 류헤이, 시바타 다쿠미, 데라타 스케시로, 마야마 유이치)은 국회법 제109조의 2의 규정에 의해 신당에 입당할 경우 의원직이 자동 박탈되기 때문에 유신당 해체와 함께 임기 만료 전까지 무소속 신분을 유지하게 되었다.",두레당,유신당,no_relation,wikipedia
37,김성수의 누이동생 김점효와 결혼하였으며 경성방직(1970년 경방으로 사명 변경)의 4대 사장으로 1946년 취임해 1975년 명예회장으로 경영일선에서 물러날 때까지 경방의 경영을 이끌었으며 전국경제인연합회 회장을 6차례 지냈다.,경성방직,김성수,no_relation,wikipedia
41,"이 캐릭터가 작가 스탠 리와 만화가 잭 커비가 만든 """" 에서 캡틴 아메리카의 전쟁 시절 애정 상대로 처음으로 등장하였을 당시에는 이름이 없었다.",스탠 리,만화가,no_relation,wikipedia
44,"행정안전부(마을자치와 마을공동체 재정운영), 국토교통부‧LH한국주택공사(주거), 여성가족부‧경찰청(여성안전), 보건복지부(복지 공공성 확장) 등 소관기관뿐 아니라 서울 관악구(여성안전), 경기도‧대구광역시‧서울특별시(복지 공공성 확장) 등 유사 문제를 극복한 다른 지방자치단체도 참여하여 지역의 사회문제에 대한 적실성 있는 해법을 모색할 것으로 기대된다.",경찰청,행정안전부,no_relation,wikitree
51,"새정치국민회의는 한나라당 내 민주계 의원들을, 자유민주연합은 민정계 의원들을 각각 접촉하여 반란 표를 부탁했으며, 한나라당은 반대로 자유민주연합 내 충청권 의원들을 접촉하여 ""국회의장을 내주지 않으면 총리 인준도 없다""는 식의 압박을 가했다.",자유민주연합,한나라당,no_relation,wikipedia
54,그는 어려서 생모인 폐비 윤씨가 아닌 계모 정현왕후의 아들인 것처럼 성장하였다.,정현왕후,폐비 윤씨,no_relation,wikipedia
55,이 정당은 1870년 프로이센 정부가 로마 가톨릭교회의 힘을 줄이기 위해 문화투쟁을 시작하자 독일의 가톨릭교도들의 힘을 모으고 로마 가톨릭 교도의 이익을 옹호하기 위하여 창설된 정당이다.,프로이센,로마 가톨릭,no_relation,wikipedia
